task_id,storeId,storeName,tag
6c3d4e73-c52c-476f-8856-ef87ea2ac0f8,"11653281","蔬乡门递-蛟龙港店"
7e714425-d82e-4707-b305-fbbb9a75edb5,"11653732","沃尔玛-双流店"
34e0dad7-ec35-4d35-bbfc-f99605d77ceb,"11653732",""
92fd716f-eb36-4d87-90ab-0a0674d6c350,"12566358","金拍档商超店-隔日达"
e98f8186-2927-4876-b3db-c275ec6a8f5e,"12566358","金拍档商超店-隔日达"
628c9c4b-d79e-4ff0-858c-2dc57962212b,"12566358","金拍档商超店-隔日达"
9974f651-3197-42c2-984d-48644e122f07,"12872007","海信专卖店-江苏冰冷洗"
67a5cbdd-ff63-4b2b-a670-6f3cc776d826,"12566358","金拍档商超店-隔日达"
af6fab2f-6564-476d-b5e6-4484eb351d94,"12513512","大润发代购-沭阳1仓"
f83ceb4d-c114-486d-a98d-4416f2b59cb8,"13016210","大润发(沭阳店)"
1d547575-8c7a-464c-a008-b9c5f696742a,null,null
